[0.040s] Invoking command in '/home/duckie5/turtlebot3_ws/build/turtlebot3_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/duckie5/turtlebot3_ws/install/test_package:/home/duckie5/turtlebot3_ws/install/turtlebot3_teleop:/home/duckie5/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble /usr/bin/cmake --build /home/duckie5/turtlebot3_ws/build/turtlebot3_description -- -j12 -l12
[0.888s] Invoked command in '/home/duckie5/turtlebot3_ws/build/turtlebot3_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/duckie5/turtlebot3_ws/install/test_package:/home/duckie5/turtlebot3_ws/install/turtlebot3_teleop:/home/duckie5/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble /usr/bin/cmake --build /home/duckie5/turtlebot3_ws/build/turtlebot3_description -- -j12 -l12
[0.899s] Invoking command in '/home/duckie5/turtlebot3_ws/build/turtlebot3_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/duckie5/turtlebot3_ws/install/test_package:/home/duckie5/turtlebot3_ws/install/turtlebot3_teleop:/home/duckie5/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble /usr/bin/cmake --install /home/duckie5/turtlebot3_ws/build/turtlebot3_description
[0.912s] -- Install configuration: ""
[0.922s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/right_tire.stl
[0.922s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/rviz/model.rviz
[0.923s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/urdf/common_properties.urdf
[0.923s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/urdf/turtlebot3_burger.urdf
[0.923s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/urdf/turtlebot3_waffle.urdf
[0.923s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/urdf/turtlebot3_waffle_pi.urdf
[0.924s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/ament_index/resource_index/package_run_dependencies/turtlebot3_description
[0.924s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/ament_index/resource_index/parent_prefix_path/turtlebot3_description
[0.924s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/environment/ament_prefix_path.sh
[0.924s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/environment/ament_prefix_path.dsv
[0.925s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/environment/path.sh
[0.925s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/environment/path.dsv
[0.925s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/local_setup.bash
[0.925s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/local_setup.sh
[0.925s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/local_setup.zsh
[0.925s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/local_setup.dsv
[0.925s] -- Symlinking: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/package.dsv
[0.951s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/ament_index/resource_index/packages/turtlebot3_description
[0.952s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/cmake/turtlebot3_descriptionConfig.cmake
[0.953s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/cmake/turtlebot3_descriptionConfig-version.cmake
[0.957s] -- Up-to-date symlink: /home/duckie5/turtlebot3_ws/install/turtlebot3_description/share/turtlebot3_description/package.xml
[0.968s] Invoked command in '/home/duckie5/turtlebot3_ws/build/turtlebot3_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/duckie5/turtlebot3_ws/install/test_package:/home/duckie5/turtlebot3_ws/install/turtlebot3_teleop:/home/duckie5/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble /usr/bin/cmake --install /home/duckie5/turtlebot3_ws/build/turtlebot3_description
